Operation,Level,Operator,Time,Source,Terminal IP Address,Operation Object,Result,Details
query current activities,Minor,Qais.AlMalkawi,	2025-11-16 14:22:24,OSSFaceService,192.168.19.116,query current activities,Successful,query current activities
Export Object Tree,Warning,najeh.ghawanmeh,	2025-11-16 14:20:36,Performance Report Service,192.168.27.21,Performance Report System,Successful,"Object type: LTE Cell, Exported objects: 28000"
Create Object Group,Warning,Akram.Abdelrahim,	2025-11-16 14:04:07,Performance Report Service,192.168.27.75,Performance Report System,Successful,Object Group Name: L21_20M_EJ
Import Object Tree,Warning,Akram.Abdelrahim,	2025-11-16 14:03:51,Performance Report Service,192.168.27.75,Performance Report System,Successful,"Object type: LTE Cell, Imported objects: 1715"
Multipart upload,Warning,"	--",	2025-11-16 14:03:48,HOFS,192.168.27.75,Complete Segmentation,Successful,Complete Segmentation Success
Multipart upload,Warning,"	--",	2025-11-16 14:03:48,HOFS,192.168.27.75,Upload Part,Successful,Upload Part Success
Multipart upload,Warning,"	--",	2025-11-16 14:03:48,HOFS,192.168.27.75,Start Segmentation,Successful,Start Segmentation Success
query current activities,Minor,najeh.ghawanmeh,	2025-11-16 14:02:16,OSSFaceService,192.168.27.21,query current activities,Successful,query current activities
Modify Object Group,Minor,Akram.Abdelrahim,	2025-11-16 14:00:56,Performance Report Service,192.168.27.75,Performance Report System,Successful,Object Group Name: LCELL_Co_RNC11_FDD
query current activities,Minor,Kareem.ElKhatib,	2025-11-16 14:00:46,OSSFaceService,192.168.27.153,query current activities,Successful,query current activities
Import Object Tree,Warning,Akram.Abdelrahim,	2025-11-16 14:00:19,Performance Report Service,192.168.27.75,Performance Report System,Failed,"Object type: LTE Cell, Successfully imported objects: 4628, Unsuccessfully imported objects: 1, Failure cause: Duplicate data. "
Multipart upload,Warning,"	--",	2025-11-16 14:00:11,HOFS,192.168.27.75,Complete Segmentation,Successful,Complete Segmentation Success
Multipart upload,Warning,"	--",	2025-11-16 14:00:11,HOFS,192.168.27.75,Upload Part,Successful,Upload Part Success
Multipart upload,Warning,"	--",	2025-11-16 14:00:11,HOFS,192.168.27.75,Start Segmentation,Successful,Start Segmentation Success
